player,year,team
S Lamichhane,2019,Delhi Capitals
DJ Bravo,2020,Chennai Super Kings
KV Sharma,2020,Chennai Super Kings
KM Jadhav,2020,Chennai Super Kings
DL Chahar,2020,Chennai Super Kings
SR Watson,2020,Chennai Super Kings
Imran Tahir,2020,Chennai Super Kings
MJ Santner,2020,Chennai Super Kings
M Vijay,2020,Chennai Super Kings
MS Dhoni,2020,Chennai Super Kings
Monu Kumar,2020,Chennai Super Kings
N Jagadeesan,2020,Chennai Super Kings
AT Rayudu,2020,Chennai Super Kings
SN Thakur,2020,Chennai Super Kings
JR Hazlewood,2020,Chennai Super Kings
RA Jadeja,2020,Chennai Super Kings
L Ngidi,2020,Chennai Super Kings
RD Gaikwad,2020,Chennai Super Kings
SM Curran,2020,Chennai Super Kings
PP Chawla,2020,Chennai Super Kings
F du Plessis,2020,Chennai Super Kings
KD Karthik,2020,Kolkata Knight Riders
Kuldeep Yadav,2020,Kolkata Knight Riders
M Prasidh Krishna,2020,Kolkata Knight Riders
SP Narine,2020,Kolkata Knight Riders
CV Varun,2020,Kolkata Knight Riders
KL Nagarkoti,2020,Kolkata Knight Riders
T Banton,2020,Kolkata Knight Riders
RA Tripathi,2020,Kolkata Knight Riders
EJG Morgan,2020,Kolkata Knight Riders
CJ Green,2020,Kolkata Knight Riders
NS Naik,2020,Kolkata Knight Riders
N Rana,2020,Kolkata Knight Riders
RK Singh,2020,Kolkata Knight Riders
LH Ferguson,2020,Kolkata Knight Riders
Shivam Mavi,2020,Kolkata Knight Riders
AD Russell,2020,Kolkata Knight Riders
S Sandeep Warrier,2020,Kolkata Knight Riders
Shubman Gill,2020,Kolkata Knight Riders
PJ Cummins,2020,Kolkata Knight Riders
JL Pattinson,2020,Mumbai Indians
KA Pollard,2020,Mumbai Indians
SA Yadav,2020,Mumbai Indians
RG Sharma,2020,Mumbai Indians
Ishan Kishan,2020,Mumbai Indians
J Yadav,2020,Mumbai Indians
KH Pandya,2020,Mumbai Indians
TA Boult,2020,Mumbai Indians
DS Kulkarni,2020,Mumbai Indians
NM Coulter-Nile,2020,Mumbai Indians
HH Pandya,2020,Mumbai Indians
Q de Kock,2020,Mumbai Indians
RD Chahar,2020,Mumbai Indians
JJ Bumrah,2020,Mumbai Indians
SS Tiwary,2020,Mumbai Indians
DR Sams,2020,Delhi Capitals
SO Hetmyer,2020,Delhi Capitals
AR Patel,2020,Delhi Capitals
HV Patel,2020,Delhi Capitals
I Sharma,2020,Delhi Capitals
A Mishra,2020,Delhi Capitals
MM Sharma,2020,Delhi Capitals
MP Stoinis,2020,Delhi Capitals
P Dubey,2020,Delhi Capitals
R Ashwin,2020,Delhi Capitals
TU Deshpande,2020,Delhi Capitals
SS Iyer,2020,Delhi Capitals
A Nortje,2020,Delhi Capitals
S Dhawan,2020,Delhi Capitals
AT Carey,2020,Delhi Capitals
AM Rahane,2020,Delhi Capitals
RR Pant,2020,Delhi Capitals
Avesh Khan,2020,Delhi Capitals
PP Shaw,2020,Delhi Capitals
K Rabada,2020,Delhi Capitals
SPD Smith,2020,Rajasthan Royals
VR Aaron,2020,Rajasthan Royals
MK Lomror,2020,Rajasthan Royals
YBK Jaiswal,2020,Rajasthan Royals
DA Miller,2020,Rajasthan Royals
JC Archer,2020,Rajasthan Royals
TK Curran,2020,Rajasthan Royals
Kartik Tyagi,2020,Rajasthan Royals
AS Rajpoot,2020,Rajasthan Royals
AJ Tye,2020,Rajasthan Royals
BA Stokes,2020,Rajasthan Royals
R Parag,2020,Rajasthan Royals
RV Uthappa,2020,Rajasthan Royals
S Gopal,2020,Rajasthan Royals
JD Unadkat,2020,Rajasthan Royals
JC Buttler,2020,Rajasthan Royals
SV Samson,2020,Rajasthan Royals
R Tewatia,2020,Rajasthan Royals
SP Goswami,2020,Sunrisers Hyderabad
S Nadeem,2020,Sunrisers Hyderabad
DA Warner,2020,Sunrisers Hyderabad
Abdul Samad,2020,Sunrisers Hyderabad
S Kaul,2020,Sunrisers Hyderabad
Basil Thampi,2020,Sunrisers Hyderabad
JO Holder,2020,Sunrisers Hyderabad
KS Williamson,2020,Sunrisers Hyderabad
MR Marsh,2020,Sunrisers Hyderabad
KK Ahmed,2020,Sunrisers Hyderabad
Sandeep Sharma,2020,Sunrisers Hyderabad
PK Garg,2020,Sunrisers Hyderabad
WP Saha,2020,Sunrisers Hyderabad
V Shankar,2020,Sunrisers Hyderabad
Abhishek Sharma,2020,Sunrisers Hyderabad
T Natarajan,2020,Sunrisers Hyderabad
B Kumar,2020,Sunrisers Hyderabad
Rashid Khan,2020,Sunrisers Hyderabad
JM Bairstow,2020,Sunrisers Hyderabad
MK Pandey,2020,Sunrisers Hyderabad
Mohammad Nabi,2020,Sunrisers Hyderabad
P Simran Singh,2020,Punjab Kings
SS Cottrell,2020,Punjab Kings
SN Khan,2020,Punjab Kings
Mandeep Singh,2020,Punjab Kings
Arshdeep Singh,2020,Punjab Kings
DJ Hooda,2020,Punjab Kings
CJ Jordan,2020,Punjab Kings
N Pooran,2020,Punjab Kings
KL Rahul,2020,Punjab Kings
MA Agarwal,2020,Punjab Kings
CH Gayle,2020,Punjab Kings
Harpreet Brar,2020,Punjab Kings
GJ Maxwell,2020,Punjab Kings
K Gowtham,2020,Punjab Kings
Mujeeb Ur Rahman,2020,Punjab Kings
Ravi Bishnoi,2020,Punjab Kings
KK Nair,2020,Punjab Kings
JDS Neesham,2020,Punjab Kings
M Ashwin,2020,Punjab Kings
Mohammed Shami,2020,Punjab Kings
CH Morris,2020,Royal Challengers Bangalore
A Zampa,2020,Royal Challengers Bangalore
V Kohli,2020,Royal Challengers Bangalore
D Padikkal,2020,Royal Challengers Bangalore
I Udana,2020,Royal Challengers Bangalore
S Dube,2020,Royal Challengers Bangalore
Navdeep Saini,2020,Royal Challengers Bangalore
AJ Finch,2020,Royal Challengers Bangalore
YS Chahal,2020,Royal Challengers Bangalore
Gurkeerat Singh,2020,Royal Challengers Bangalore
JR Philippe,2020,Royal Challengers Bangalore
DW Steyn,2020,Royal Challengers Bangalore
AB de Villiers,2020,Royal Challengers Bangalore
Shahbaz Ahmed,2020,Royal Challengers Bangalore
Mohammed Siraj,2020,Royal Challengers Bangalore
Washington Sundar,2020,Royal Challengers Bangalore
UT Yadav,2020,Royal Challengers Bangalore
MM Ali,2020,Royal Challengers Bangalore
AU Rashid,2021,Punjab Kings
NT Ellis,2021,Punjab Kings
Jalaj S Saxena,2021,Punjab Kings
MC Henriques,2021,Punjab Kings
IC Porel,2021,Punjab Kings
KL Rahul,2021,Punjab Kings
P Simran Singh,2021,Punjab Kings
Mohammed Shami,2021,Punjab Kings
Ravi Bishnoi,2021,Punjab Kings
SN Khan,2021,Punjab Kings
FA Allen,2021,Punjab Kings
Mandeep Singh,2021,Punjab Kings
AK Markram,2021,Punjab Kings
MA Agarwal,2021,Punjab Kings
M Shahrukh Khan,2021,Punjab Kings
M Ashwin,2021,Punjab Kings
JA Richardson,2021,Punjab Kings
RP Meredith,2021,Punjab Kings
DJ Malan,2021,Punjab Kings
DJ Hooda,2021,Punjab Kings
N Pooran,2021,Punjab Kings
Harpreet Brar,2021,Punjab Kings
CH Gayle,2021,Punjab Kings
Arshdeep Singh,2021,Punjab Kings
CJ Jordan,2021,Punjab Kings
WP Saha,2021,Sunrisers Hyderabad
Virat Singh,2021,Sunrisers Hyderabad
J Suchith,2021,Sunrisers Hyderabad
V Shankar,2021,Sunrisers Hyderabad
Umran Malik,2021,Sunrisers Hyderabad
Mujeeb Ur Rahman,2021,Sunrisers Hyderabad
DA Warner,2021,Sunrisers Hyderabad
Abdul Samad,2021,Sunrisers Hyderabad
KM Jadhav,2021,Sunrisers Hyderabad
Abhishek Sharma,2021,Sunrisers Hyderabad
JO Holder,2021,Sunrisers Hyderabad
T Natarajan,2021,Sunrisers Hyderabad
Sandeep Sharma,2021,Sunrisers Hyderabad
KK Ahmed,2021,Sunrisers Hyderabad
Mohammad Nabi,2021,Sunrisers Hyderabad
JM Bairstow,2021,Sunrisers Hyderabad
Rashid Khan,2021,Sunrisers Hyderabad
KS Williamson,2021,Sunrisers Hyderabad
B Kumar,2021,Sunrisers Hyderabad
S Kaul,2021,Sunrisers Hyderabad
JJ Roy,2021,Sunrisers Hyderabad
MK Pandey,2021,Sunrisers Hyderabad
S Nadeem,2021,Sunrisers Hyderabad
PK Garg,2021,Sunrisers Hyderabad
AT Rayudu,2021,Chennai Super Kings
Imran Tahir,2021,Chennai Super Kings
DL Chahar,2021,Chennai Super Kings
KM Asif,2021,Chennai Super Kings
F du Plessis,2021,Chennai Super Kings
SK Raina,2021,Chennai Super Kings
SM Curran,2021,Chennai Super Kings
RA Jadeja,2021,Chennai Super Kings
L Ngidi,2021,Chennai Super Kings
MS Dhoni,2021,Chennai Super Kings
SN Thakur,2021,Chennai Super Kings
DJ Bravo,2021,Chennai Super Kings
JR Hazlewood,2021,Chennai Super Kings
MM Ali,2021,Chennai Super Kings
RV Uthappa,2021,Chennai Super Kings
RD Gaikwad,2021,Chennai Super Kings
S Dhawan,2021,Delhi Capitals
AM Rahane,2021,Delhi Capitals
SO Hetmyer,2021,Delhi Capitals
RR Pant,2021,Delhi Capitals
A Mishra,2021,Delhi Capitals
AR Patel,2021,Delhi Capitals
PP Shaw,2021,Delhi Capitals
RV Patel,2021,Delhi Capitals
SS Iyer,2021,Delhi Capitals
K Rabada,2021,Delhi Capitals
I Sharma,2021,Delhi Capitals
Lalit Yadav,2021,Delhi Capitals
MP Stoinis,2021,Delhi Capitals
CR Woakes,2021,Delhi Capitals
Avesh Khan,2021,Delhi Capitals
A Nortje,2021,Delhi Capitals
TK Curran,2021,Delhi Capitals
SPD Smith,2021,Delhi Capitals
LI Meriwala,2021,Delhi Capitals
R Ashwin,2021,Delhi Capitals
DT Christian,2021,Royal Challengers Bangalore
GHS Garton,2021,Royal Challengers Bangalore
D Padikkal,2021,Royal Challengers Bangalore
YS Chahal,2021,Royal Challengers Bangalore
AB de Villiers,2021,Royal Challengers Bangalore
Washington Sundar,2021,Royal Challengers Bangalore
Sachin Baby,2021,Royal Challengers Bangalore
KA Jamieson,2021,Royal Challengers Bangalore
V Kohli,2021,Royal Challengers Bangalore
Navdeep Saini,2021,Royal Challengers Bangalore
HV Patel,2021,Royal Challengers Bangalore
Mohammed Siraj,2021,Royal Challengers Bangalore
DR Sams,2021,Royal Challengers Bangalore
Shahbaz Ahmed,2021,Royal Challengers Bangalore
PWH de Silva,2021,Royal Challengers Bangalore
KS Bharat,2021,Royal Challengers Bangalore
TH David,2021,Royal Challengers Bangalore
KW Richardson,2021,Royal Challengers Bangalore
RM Patidar,2021,Royal Challengers Bangalore
GJ Maxwell,2021,Royal Challengers Bangalore
LH Ferguson,2021,Kolkata Knight Riders
Shakib Al Hasan,2021,Kolkata Knight Riders
M Prasidh Krishna,2021,Kolkata Knight Riders
S Sandeep Warrier,2021,Kolkata Knight Riders
TL Seifert,2021,Kolkata Knight Riders
PJ Cummins,2021,Kolkata Knight Riders
KL Nagarkoti,2021,Kolkata Knight Riders
CV Varun,2021,Kolkata Knight Riders
Shivam Mavi,2021,Kolkata Knight Riders
EJG Morgan,2021,Kolkata Knight Riders
Harbhajan Singh,2021,Kolkata Knight Riders
RA Tripathi,2021,Kolkata Knight Riders
N Rana,2021,Kolkata Knight Riders
Shubman Gill,2021,Kolkata Knight Riders
VR Iyer,2021,Kolkata Knight Riders
KD Karthik,2021,Kolkata Knight Riders
SP Narine,2021,Kolkata Knight Riders
TG Southee,2021,Kolkata Knight Riders
AD Russell,2021,Kolkata Knight Riders
Ishan Kishan,2021,Mumbai Indians
PP Chawla,2021,Mumbai Indians
SA Yadav,2021,Mumbai Indians
KH Pandya,2021,Mumbai Indians
AF Milne,2021,Mumbai Indians
NM Coulter-Nile,2021,Mumbai Indians
KA Pollard,2021,Mumbai Indians
M Jansen,2021,Mumbai Indians
RD Chahar,2021,Mumbai Indians
HH Pandya,2021,Mumbai Indians
Anmolpreet Singh,2021,Mumbai Indians
JJ Bumrah,2021,Mumbai Indians
RG Sharma,2021,Mumbai Indians
TA Boult,2021,Mumbai Indians
Q de Kock,2021,Mumbai Indians
J Yadav,2021,Mumbai Indians
DS Kulkarni,2021,Mumbai Indians
SS Tiwary,2021,Mumbai Indians
CA Lynn,2021,Mumbai Indians
JDS Neesham,2021,Mumbai Indians
CH Morris,2021,Rajasthan Royals
DA Miller,2021,Rajasthan Royals
Anuj Rawat,2021,Rajasthan Royals
SV Samson,2021,Rajasthan Royals
S Dube,2021,Rajasthan Royals
JD Unadkat,2021,Rajasthan Royals
M Vohra,2021,Rajasthan Royals
E Lewis,2021,Rajasthan Royals
R Tewatia,2021,Rajasthan Royals
Akash Singh,2021,Rajasthan Royals
S Gopal,2021,Rajasthan Royals
K Yadav,2021,Rajasthan Royals
BA Stokes,2021,Rajasthan Royals
GD Phillips,2021,Rajasthan Royals
R Parag,2021,Rajasthan Royals
MK Lomror,2021,Rajasthan Royals
T Shamsi,2021,Rajasthan Royals
JC Buttler,2021,Rajasthan Royals
Kartik Tyagi,2021,Rajasthan Royals
M Markande,2021,Rajasthan Royals
YBK Jaiswal,2021,Rajasthan Royals
LS Livingstone,2021,Rajasthan Royals
C Sakariya,2021,Rajasthan Royals
Mustafizur Rahman,2021,Rajasthan Royals
SO Hetmyer,2022,Rajasthan Royals
YBK Jaiswal,2022,Rajasthan Royals
NM Coulter-Nile,2022,Rajasthan Royals
JC Buttler,2022,Rajasthan Royals
SV Samson,2022,Rajasthan Royals
R Ashwin,2022,Rajasthan Royals
DJ Mitchell,2022,Rajasthan Royals
Navdeep Saini,2022,Rajasthan Royals
R Parag,2022,Rajasthan Royals
HE van der Dussen,2022,Rajasthan Royals
YS Chahal,2022,Rajasthan Royals
JDS Neesham,2022,Rajasthan Royals
KK Nair,2022,Rajasthan Royals
TA Boult,2022,Rajasthan Royals
OC McCoy,2022,Rajasthan Royals
D Padikkal,2022,Rajasthan Royals
M Prasidh Krishna,2022,Rajasthan Royals
KR Sen,2022,Rajasthan Royals
M Jansen,2022,Sunrisers Hyderabad
S Gopal,2022,Sunrisers Hyderabad
B Kumar,2022,Sunrisers Hyderabad
T Natarajan,2022,Sunrisers Hyderabad
R Shepherd,2022,Sunrisers Hyderabad
J Suchith,2022,Sunrisers Hyderabad
PK Garg,2022,Sunrisers Hyderabad
AK Markram,2022,Sunrisers Hyderabad
Abhishek Sharma,2022,Sunrisers Hyderabad
KS Williamson,2022,Sunrisers Hyderabad
Abdul Samad,2022,Sunrisers Hyderabad
Kartik Tyagi,2022,Sunrisers Hyderabad
SA Abbott,2022,Sunrisers Hyderabad
Washington Sundar,2022,Sunrisers Hyderabad
Fazalhaq Farooqi,2022,Sunrisers Hyderabad
Umran Malik,2022,Sunrisers Hyderabad
RA Tripathi,2022,Sunrisers Hyderabad
Shashank Singh,2022,Sunrisers Hyderabad
N Pooran,2022,Sunrisers Hyderabad
Simarjeet Singh,2022,Chennai Super Kings
M Pathirana,2022,Chennai Super Kings
DJ Bravo,2022,Chennai Super Kings
AT Rayudu,2022,Chennai Super Kings
RD Gaikwad,2022,Chennai Super Kings
RV Uthappa,2022,Chennai Super Kings
D Pretorius,2022,Chennai Super Kings
S Dube,2022,Chennai Super Kings
CJ Jordan,2022,Chennai Super Kings
MS Dhoni,2022,Chennai Super Kings
PH Solanki,2022,Chennai Super Kings
Mukesh Choudhary,2022,Chennai Super Kings
TU Deshpande,2022,Chennai Super Kings
DP Conway,2022,Chennai Super Kings
MM Ali,2022,Chennai Super Kings
RA Jadeja,2022,Chennai Super Kings
MJ Santner,2022,Chennai Super Kings
AF Milne,2022,Chennai Super Kings
N Jagadeesan,2022,Chennai Super Kings
M Theekshana,2022,Chennai Super Kings
TS Mills,2022,Mumbai Indians
JJ Bumrah,2022,Mumbai Indians
T Stubbs,2022,Mumbai Indians
Tilak Varma,2022,Mumbai Indians
M Markande,2022,Mumbai Indians
HR Shokeen,2022,Mumbai Indians
SA Yadav,2022,Mumbai Indians
Ramandeep Singh,2022,Mumbai Indians
D Brevis,2022,Mumbai Indians
RP Meredith,2022,Mumbai Indians
JD Unadkat,2022,Mumbai Indians
FA Allen,2022,Mumbai Indians
Basil Thampi,2022,Mumbai Indians
Anmolpreet Singh,2022,Mumbai Indians
TH David,2022,Mumbai Indians
DR Sams,2022,Mumbai Indians
RG Sharma,2022,Mumbai Indians
R Sanjay Yadav,2022,Mumbai Indians
KA Pollard,2022,Mumbai Indians
M Ashwin,2022,Mumbai Indians
K Kartikeya,2022,Mumbai Indians
Ishan Kishan,2022,Mumbai Indians
Harpreet Brar,2022,Punjab Kings
OF Smith,2022,Punjab Kings
RA Bawa,2022,Punjab Kings
RD Chahar,2022,Punjab Kings
Sandeep Sharma,2022,Punjab Kings
S Dhawan,2022,Punjab Kings
PN Mankad,2022,Punjab Kings
Arshdeep Singh,2022,Punjab Kings
JM Bairstow,2022,Punjab Kings
NT Ellis,2022,Punjab Kings
K Rabada,2022,Punjab Kings
PBB Rajapaksa,2022,Punjab Kings
M Shahrukh Khan,2022,Punjab Kings
JM Sharma,2022,Punjab Kings
R Dhawan,2022,Punjab Kings
P Simran Singh,2022,Punjab Kings
MA Agarwal,2022,Punjab Kings
LS Livingstone,2022,Punjab Kings
VG Arora,2022,Punjab Kings
Mohammed Siraj,2022,Royal Challengers Bangalore
DJ Willey,2022,Royal Challengers Bangalore
JR Hazlewood,2022,Royal Challengers Bangalore
SE Rutherford,2022,Royal Challengers Bangalore
RM Patidar,2022,Royal Challengers Bangalore
PWH de Silva,2022,Royal Challengers Bangalore
V Kohli,2022,Royal Challengers Bangalore
Akash Deep,2022,Royal Challengers Bangalore
MK Lomror,2022,Royal Challengers Bangalore
Anuj Rawat,2022,Royal Challengers Bangalore
SS Prabhudessai,2022,Royal Challengers Bangalore
Shahbaz Ahmed,2022,Royal Challengers Bangalore
GJ Maxwell,2022,Royal Challengers Bangalore
F du Plessis,2022,Royal Challengers Bangalore
HV Patel,2022,Royal Challengers Bangalore
KD Karthik,2022,Royal Challengers Bangalore
S Kaul,2022,Royal Challengers Bangalore
K Gowtham,2022,Lucknow Super Giants
Ravi Bishnoi,2022,Lucknow Super Giants
DJ Hooda,2022,Lucknow Super Giants
A Badoni,2022,Lucknow Super Giants
PVD Chameera,2022,Lucknow Super Giants
MP Stoinis,2022,Lucknow Super Giants
MK Pandey,2022,Lucknow Super Giants
Avesh Khan,2022,Lucknow Super Giants
AJ Tye,2022,Lucknow Super Giants
Q de Kock,2022,Lucknow Super Giants
JO Holder,2022,Lucknow Super Giants
E Lewis,2022,Lucknow Super Giants
KH Pandya,2022,Lucknow Super Giants
Mohsin Khan,2022,Lucknow Super Giants
M Vohra,2022,Lucknow Super Giants
KL Rahul,2022,Lucknow Super Giants
KS Sharma,2022,Lucknow Super Giants
KK Ahmed,2022,Delhi Capitals
KL Nagarkoti,2022,Delhi Capitals
Kuldeep Yadav,2022,Delhi Capitals
DA Warner,2022,Delhi Capitals
Lalit Yadav,2022,Delhi Capitals
PP Shaw,2022,Delhi Capitals
RR Pant,2022,Delhi Capitals
R Powell,2022,Delhi Capitals
SN Khan,2022,Delhi Capitals
RV Patel,2022,Delhi Capitals
Mandeep Singh,2022,Delhi Capitals
A Nortje,2022,Delhi Capitals
SN Thakur,2022,Delhi Capitals
TL Seifert,2022,Delhi Capitals
Mustafizur Rahman,2022,Delhi Capitals
AR Patel,2022,Delhi Capitals
KS Bharat,2022,Delhi Capitals
C Sakariya,2022,Delhi Capitals
MR Marsh,2022,Delhi Capitals
R Tewatia,2022,Gujarat Titans
AS Joseph,2022,Gujarat Titans
Shubman Gill,2022,Gujarat Titans
Yash Dayal,2022,Gujarat Titans
Rashid Khan,2022,Gujarat Titans
MS Wade,2022,Gujarat Titans
LH Ferguson,2022,Gujarat Titans
V Shankar,2022,Gujarat Titans
Mohammed Shami,2022,Gujarat Titans
B Sai Sudharsan,2022,Gujarat Titans
VR Aaron,2022,Gujarat Titans
R Sai Kishore,2022,Gujarat Titans
PJ Sangwan,2022,Gujarat Titans
HH Pandya,2022,Gujarat Titans
WP Saha,2022,Gujarat Titans
A Manohar,2022,Gujarat Titans
DG Nalkande,2022,Gujarat Titans
DA Miller,2022,Gujarat Titans
Rasikh Salam,2022,Kolkata Knight Riders
AM Rahane,2022,Kolkata Knight Riders
B Indrajith,2022,Kolkata Knight Riders
UT Yadav,2022,Kolkata Knight Riders
PJ Cummins,2022,Kolkata Knight Riders
SP Jackson,2022,Kolkata Knight Riders
SP Narine,2022,Kolkata Knight Riders
VR Iyer,2022,Kolkata Knight Riders
N Rana,2022,Kolkata Knight Riders
AD Russell,2022,Kolkata Knight Riders
SW Billings,2022,Kolkata Knight Riders
Harshit Rana,2022,Kolkata Knight Riders
SS Iyer,2022,Kolkata Knight Riders
AS Roy,2022,Kolkata Knight Riders
A Tomar,2022,Kolkata Knight Riders
Aman Hakim Khan,2022,Kolkata Knight Riders
TG Southee,2022,Kolkata Knight Riders
RK Singh,2022,Kolkata Knight Riders
Shivam Mavi,2022,Kolkata Knight Riders
CV Varun,2022,Kolkata Knight Riders
AJ Finch,2022,Kolkata Knight Riders
MA Wood,2023,Lucknow Super Giants
Q de Kock,2023,Lucknow Super Giants
JD Unadkat,2023,Lucknow Super Giants
KL Rahul,2023,Lucknow Super Giants
Yudhvir Singh,2023,Lucknow Super Giants
A Mishra,2023,Lucknow Super Giants
Mohsin Khan,2023,Lucknow Super Giants
KS Sharma,2023,Lucknow Super Giants
M Vohra,2023,Lucknow Super Giants
MP Stoinis,2023,Lucknow Super Giants
DJ Hooda,2023,Lucknow Super Giants
N Pooran,2023,Lucknow Super Giants
PN Mankad,2023,Lucknow Super Giants
Avesh Khan,2023,Lucknow Super Giants
Swapnil Singh,2023,Lucknow Super Giants
R Shepherd,2023,Lucknow Super Giants
KR Mayers,2023,Lucknow Super Giants
Yash Thakur,2023,Lucknow Super Giants
Ravi Bishnoi,2023,Lucknow Super Giants
Naveen-ul-Haq,2023,Lucknow Super Giants
A Badoni,2023,Lucknow Super Giants
K Gowtham,2023,Lucknow Super Giants
KH Pandya,2023,Lucknow Super Giants
MM Sharma,2023,Gujarat Titans
A Manohar,2023,Gujarat Titans
KS Williamson,2023,Gujarat Titans
J Yadav,2023,Gujarat Titans
R Tewatia,2023,Gujarat Titans
Mohammed Shami,2023,Gujarat Titans
J Little,2023,Gujarat Titans
MD Shanaka,2023,Gujarat Titans
Shubman Gill,2023,Gujarat Titans
WP Saha,2023,Gujarat Titans
DG Nalkande,2023,Gujarat Titans
V Shankar,2023,Gujarat Titans
DA Miller,2023,Gujarat Titans
B Sai Sudharsan,2023,Gujarat Titans
HH Pandya,2023,Gujarat Titans
Rashid Khan,2023,Gujarat Titans
AS Joseph,2023,Gujarat Titans
Yash Dayal,2023,Gujarat Titans
Noor Ahmad,2023,Gujarat Titans
Abishek Porel,2023,Delhi Capitals
Lalit Yadav,2023,Delhi Capitals
AR Patel,2023,Delhi Capitals
SN Khan,2023,Delhi Capitals
YV Dhull,2023,Delhi Capitals
KK Ahmed,2023,Delhi Capitals
C Sakariya,2023,Delhi Capitals
A Nortje,2023,Delhi Capitals
R Powell,2023,Delhi Capitals
P Dubey,2023,Delhi Capitals
Aman Hakim Khan,2023,Delhi Capitals
DA Warner,2023,Delhi Capitals
MR Marsh,2023,Delhi Capitals
I Sharma,2023,Delhi Capitals
RR Rossouw,2023,Delhi Capitals
PD Salt,2023,Delhi Capitals
Kuldeep Yadav,2023,Delhi Capitals
Mukesh Kumar,2023,Delhi Capitals
PK Garg,2023,Delhi Capitals
RV Patel,2023,Delhi Capitals
PP Shaw,2023,Delhi Capitals
Mustafizur Rahman,2023,Delhi Capitals
MK Pandey,2023,Delhi Capitals
AS Roy,2023,Kolkata Knight Riders
SP Narine,2023,Kolkata Knight Riders
CV Varun,2023,Kolkata Knight Riders
UT Yadav,2023,Kolkata Knight Riders
VR Iyer,2023,Kolkata Knight Riders
AD Russell,2023,Kolkata Knight Riders
JJ Roy,2023,Kolkata Knight Riders
Rahmanullah Gurbaz,2023,Kolkata Knight Riders
SN Thakur,2023,Kolkata Knight Riders
D Wiese,2023,Kolkata Knight Riders
K Khejroliya,2023,Kolkata Knight Riders
VG Arora,2023,Kolkata Knight Riders
N Rana,2023,Kolkata Knight Riders
Mandeep Singh,2023,Kolkata Knight Riders
Liton Das,2023,Kolkata Knight Riders
RK Singh,2023,Kolkata Knight Riders
TG Southee,2023,Kolkata Knight Riders
Suyash Sharma,2023,Kolkata Knight Riders
Harshit Rana,2023,Kolkata Knight Riders
LH Ferguson,2023,Kolkata Knight Riders
N Jagadeesan,2023,Kolkata Knight Riders
Harpreet Brar,2023,Punjab Kings
Sikandar Raza,2023,Punjab Kings
K Rabada,2023,Punjab Kings
M Shahrukh Khan,2023,Punjab Kings
S Dhawan,2023,Punjab Kings
Harpreet Singh,2023,Punjab Kings
SM Curran,2023,Punjab Kings
MW Short,2023,Punjab Kings
Arshdeep Singh,2023,Punjab Kings
JM Sharma,2023,Punjab Kings
Atharva Taide,2023,Punjab Kings
PBB Rajapaksa,2023,Punjab Kings
Mohit Rathee,2023,Punjab Kings
P Simran Singh,2023,Punjab Kings
R Dhawan,2023,Punjab Kings
RD Chahar,2023,Punjab Kings
NT Ellis,2023,Punjab Kings
Gurnoor Brar,2023,Punjab Kings
LS Livingstone,2023,Punjab Kings
MG Bracewell,2023,Royal Challengers Bangalore
MK Lomror,2023,Royal Challengers Bangalore
RJW Topley,2023,Royal Challengers Bangalore
GJ Maxwell,2023,Royal Challengers Bangalore
WD Parnell,2023,Royal Challengers Bangalore
Mohammed Siraj,2023,Royal Challengers Bangalore
JR Hazlewood,2023,Royal Challengers Bangalore
PWH de Silva,2023,Royal Challengers Bangalore
KV Sharma,2023,Royal Challengers Bangalore
KM Jadhav,2023,Royal Challengers Bangalore
H Sharma,2023,Royal Challengers Bangalore
SS Prabhudessai,2023,Royal Challengers Bangalore
F du Plessis,2023,Royal Challengers Bangalore
Shahbaz Ahmed,2023,Royal Challengers Bangalore
Anuj Rawat,2023,Royal Challengers Bangalore
Akash Deep,2023,Royal Challengers Bangalore
DJ Willey,2023,Royal Challengers Bangalore
Vijaykumar Vyshak,2023,Royal Challengers Bangalore
V Kohli,2023,Royal Challengers Bangalore
KD Karthik,2023,Royal Challengers Bangalore
HV Patel,2023,Royal Challengers Bangalore
Washington Sundar,2023,Sunrisers Hyderabad
MA Agarwal,2023,Sunrisers Hyderabad
Kartik Tyagi,2023,Sunrisers Hyderabad
H Klaasen,2023,Sunrisers Hyderabad
M Jansen,2023,Sunrisers Hyderabad
Abhishek Sharma,2023,Sunrisers Hyderabad
Umran Malik,2023,Sunrisers Hyderabad
Sanvir Singh,2023,Sunrisers Hyderabad
Vivrant Sharma,2023,Sunrisers Hyderabad
HC Brook,2023,Sunrisers Hyderabad
Fazalhaq Farooqi,2023,Sunrisers Hyderabad
AJ Hosein,2023,Sunrisers Hyderabad
Abdul Samad,2023,Sunrisers Hyderabad
Anmolpreet Singh,2023,Sunrisers Hyderabad
M Markande,2023,Sunrisers Hyderabad
B Kumar,2023,Sunrisers Hyderabad
GD Phillips,2023,Sunrisers Hyderabad
AK Markram,2023,Sunrisers Hyderabad
RA Tripathi,2023,Sunrisers Hyderabad
T Natarajan,2023,Sunrisers Hyderabad
AU Rashid,2023,Sunrisers Hyderabad
Nithish Kumar Reddy,2023,Sunrisers Hyderabad
Mayank Dagar,2023,Sunrisers Hyderabad
RG Sharma,2023,Mumbai Indians
C Green,2023,Mumbai Indians
HR Shokeen,2023,Mumbai Indians
N Wadhera,2023,Mumbai Indians
JP Behrendorff,2023,Mumbai Indians
