player,year,team
Joginder Sharma,2010,Chennai Super Kings
ML Hayden,2010,Chennai Super Kings
JM Kemp,2010,Chennai Super Kings
SB Jakati,2010,Chennai Super Kings
KB Arun Karthik,2010,Chennai Super Kings
DE Bollinger,2010,Chennai Super Kings
MS Dhoni,2010,Chennai Super Kings
MEK Hussey,2010,Chennai Super Kings
S Badrinath,2010,Chennai Super Kings
S Anirudha,2010,Chennai Super Kings
L Balaji,2010,Chennai Super Kings
NLTC Perera,2010,Chennai Super Kings
PA Patel,2010,Chennai Super Kings
SK Raina,2010,Chennai Super Kings
T Thushara,2010,Chennai Super Kings
GJ Bailey,2010,Chennai Super Kings
C Ganapathy,2010,Chennai Super Kings
M Vijay,2010,Chennai Super Kings
M Muralitharan,2010,Chennai Super Kings
JA Morkel,2010,Chennai Super Kings
WPUJC Vaas,2010,Deccan Chargers
RP Singh,2010,Deccan Chargers
Jaskaran Singh,2010,Deccan Chargers
B Sumanth,2010,Deccan Chargers
Harmeet Singh,2010,Deccan Chargers
AA Bilakhia,2010,Deccan Chargers
HH Gibbs,2010,Deccan Chargers
MR Marsh,2010,Deccan Chargers
KAJ Roach,2010,Deccan Chargers
MD Mishra,2010,Deccan Chargers
TL Suman,2010,Deccan Chargers
AC Gilchrist,2010,Deccan Chargers
Anirudh Singh,2010,Deccan Chargers
R Sharma,2010,Deccan Chargers
DR Smith,2010,Deccan Chargers
RJ Harris,2010,Deccan Chargers
A Symonds,2010,Deccan Chargers
PP Ojha,2010,Deccan Chargers
RG Sharma,2010,Deccan Chargers
Y Venugopal Rao,2010,Deccan Chargers
VVS Laxman,2010,Deccan Chargers
KD Karthik,2010,Delhi Daredevils
TM Dilshan,2010,Delhi Daredevils
V Sehwag,2010,Delhi Daredevils
DA Warner,2010,Delhi Daredevils
KM Jadhav,2010,Delhi Daredevils
PJ Sangwan,2010,Delhi Daredevils
AB de Villiers,2010,Delhi Daredevils
PD Collingwood,2010,Delhi Daredevils
AB McDonald,2010,Delhi Daredevils
DL Vettori,2010,Delhi Daredevils
A Nehra,2010,Delhi Daredevils
UT Yadav,2010,Delhi Daredevils
A Mishra,2010,Delhi Daredevils
MC Henriques,2010,Delhi Daredevils
G Gambhir,2010,Delhi Daredevils
